georges-bizet|Georges Bizet|1838-10-25|1875-06-03|France|music|man|Composed Carmen, one of the most enduring works in the operatic repertoire.|Georges_Bizet
lord-byron|Lord Byron|1788-01-22|1824-04-19|UK|literature|man|Became one of Romanticism's defining poets and a model of the public literary celebrity.|Lord_Byron
sadi-carnot|Sadi Carnot|1796-06-01|1832-08-24|France|science|man|Laid the conceptual foundation of thermodynamics through his analysis of heat engines.|Nicolas_Léonard_Sadi_Carnot
heinrich-hertz|Heinrich Hertz|1857-02-22|1894-01-01|Germany|science|man|Experimentally demonstrated electromagnetic waves predicted by Maxwell's theory.|Heinrich_Hertz
marilyn-monroe|Marilyn Monroe|1926-06-01|1962-08-04|USA|film|woman|Became one of Hollywood's most enduring screen icons while developing a distinctive comic persona.|Marilyn_Monroe
toulouse-lautrec|Henri de Toulouse-Lautrec|1864-11-24|1901-09-09|France|art|man|Captured Parisian nightlife in paintings and posters that transformed modern graphic art.|Henri_de_Toulouse-Lautrec
rosalind-franklin|Rosalind Franklin|1920-07-25|1958-04-16|UK|science|woman|Produced crucial X-ray diffraction work on DNA and important research on viruses and carbon.|Rosalind_Franklin
raphael|Raphael|1483-04-06|1520-04-06|Italy|art|man|Became one of the defining painters and architects of the High Renaissance.|Raphael
thomas-sankara|Thomas Sankara|1949-12-21|1987-10-15|Burkina Faso|politics|man|Pursued an ambitious anti-corruption, public-health and women's-rights program as president.|Thomas_Sankara
medgar-evers|Medgar Evers|1925-07-02|1963-06-12|USA|activism|man|Organized voting-rights and desegregation campaigns as the NAACP's first field secretary in Mississippi.|Medgar_Evers
christa-mcauliffe|Christa McAuliffe|1948-09-02|1986-01-28|USA|exploration|woman|Was selected from thousands of teachers to join NASA's Teacher in Space Project.|Christa_McAuliffe
harriet-quimby|Harriet Quimby|1875-05-11|1912-07-01|USA|exploration|woman|Became the first American woman to earn a pilot certificate and the first woman to fly across the English Channel.|Harriet_Quimby
amy-johnson|Amy Johnson|1903-07-01|1941-01-05|UK|exploration|woman|Set major long-distance aviation records, including the first solo flight by a woman from England to Australia.|Amy_Johnson
martin-luther-king|Martin Luther King Jr.|1929-01-15|1968-04-04|USA|activism|man|Led a mass nonviolent civil-rights movement and received the Nobel Peace Prize at 35.|Martin_Luther_King_Jr.
malcolm-x|Malcolm X|1925-05-19|1965-02-21|USA|activism|man|Became one of the 20th century's most influential Black political voices and public speakers.|Malcolm_X
blaise-pascal|Blaise Pascal|1623-06-19|1662-08-19|France|mathematics|man|Made major contributions to mathematics, physics, philosophy and early mechanical calculation.|Blaise_Pascal
bernhard-riemann|Bernhard Riemann|1826-09-17|1866-07-20|Germany|mathematics|man|Introduced ideas in geometry and analysis that became foundational to modern mathematics and physics.|Bernhard_Riemann
flannery-oconnor|Flannery O'Connor|1925-03-25|1964-08-03|USA|literature|woman|Created a distinctive body of Southern Gothic fiction marked by precision, violence and dark humor.|Flannery_O'Connor
george-gershwin|George Gershwin|1898-09-26|1937-07-11|USA|music|man|Bridged popular song, jazz and concert music in works such as Rhapsody in Blue and Porgy and Bess.|George_Gershwin
mendelssohn|Felix Mendelssohn|1809-02-03|1847-11-04|Germany|music|man|Composed major orchestral and chamber works and helped revive public interest in Bach.|Felix_Mendelssohn
charlotte-bronte|Charlotte Brontë|1816-04-21|1855-03-31|UK|literature|woman|Wrote Jane Eyre and helped reshape the psychological possibilities of the Victorian novel.|Charlotte_Brontë
mary-wollstonecraft|Mary Wollstonecraft|1759-04-27|1797-09-10|UK|literature|woman|Argued for women's equality in A Vindication of the Rights of Woman.|Mary_Wollstonecraft
caravaggio|Caravaggio|1571-09-29|1610-07-18|Italy|art|man|Transformed European painting through radical naturalism and dramatic use of light.|Caravaggio
osamu-dazai|Osamu Dazai|1909-06-19|1948-06-13|Japan|literature|man|Became one of modern Japan's most widely read writers through intensely personal fiction.|Osamu_Dazai
marielle-franco|Marielle Franco|1979-07-27|2018-03-14|Brazil|politics|woman|Became a prominent Rio de Janeiro councilor advocating for Black, LGBTQ and favela communities.|Marielle_Franco
alan-turing|Alan Turing|1912-06-23|1954-06-07|UK|mathematics|man|Laid foundations of computer science and played a major role in Allied wartime codebreaking.|Alan_Turing
jane-austen|Jane Austen|1775-12-16|1817-07-18|UK|literature|woman|Created six novels whose social precision and narrative technique transformed English fiction.|Jane_Austen
maryam-mirzakhani|Maryam Mirzakhani|1977-05-12|2017-07-14|Iran / USA|mathematics|woman|Became the first woman to receive the Fields Medal for groundbreaking work in geometry and dynamics.|Maryam_Mirzakhani
franz-kafka|Franz Kafka|1883-07-03|1924-06-03|Austria-Hungary|literature|man|Created a body of fiction so distinctive that his name became an adjective for modern alienation.|Franz_Kafka
kalpana-chawla|Kalpana Chawla|1962-03-17|2003-02-01|India / USA|exploration|woman|Became the first woman of Indian origin to travel into space.|Kalpana_Chawla
jean-seberg|Jean Seberg|1938-11-13|1979-08-30|USA / France|film|woman|Became an icon of the French New Wave through Breathless and a politically engaged public figure.|Jean_Seberg
emilie-du-chatelet|Émilie du Châtelet|1706-12-17|1749-09-10|France|science|woman|Produced the authoritative French translation and commentary on Newton's Principia.|Émilie_du_Châtelet
robert-f-kennedy|Robert F. Kennedy|1925-11-20|1968-06-06|USA|politics|man|Served as attorney general and senator before mounting a major presidential campaign centered on civil rights and poverty.|Robert_F._Kennedy
jacqueline-du-pre|Jacqueline du Pré|1945-01-26|1987-10-19|UK|music|woman|Became one of the 20th century's most celebrated cellists before multiple sclerosis ended her performing career.|Jacqueline_du_Pré
romy-schneider|Romy Schneider|1938-09-23|1982-05-29|Austria / France|film|woman|Moved from youthful stardom to become one of postwar European cinema's most acclaimed actors.|Romy_Schneider
robert-falcon-scott|Robert Falcon Scott|1868-06-06|1912-03-29|UK|exploration|man|Led major Antarctic expeditions and reached the South Pole shortly after Amundsen.|Robert_Falcon_Scott
django-reinhardt|Django Reinhardt|1910-01-23|1953-05-16|Belgium / France|music|man|Created a new vocabulary for jazz guitar and co-founded the Quintette du Hot Club de France.|Django_Reinhardt
marvin-gaye|Marvin Gaye|1939-04-02|1984-04-01|USA|music|man|Expanded the artistic scope of soul music through albums such as What's Going On.|Marvin_Gaye
antoine-de-saint-exupery|Antoine de Saint-Exupéry|1900-06-29|1944-07-31|France|literature|man|Combined pioneering aviation with literature, including The Little Prince.|Antoine_de_Saint-Exupéry
